,season,team1,team2,elo_prob1,elo_prob2,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team1Hash,team2Hash
1123,-1.222725288391636,CLE,BRK,0.91484078111583,0.08515921888417011,1.2272945259428472,-1.7086016036512508,1.2449937156744777,-1.731553656643396,0.932429322913083,0.067570677086917,107,87,4228907574955838526,1857582939019047147
1124,-1.222725288391636,NOP,DEN,0.6003978578002415,0.39960214219975854,-0.7104315149868847,-0.6596496445278783,-0.6535378040815695,-0.7144595206038209,0.623041280561079,0.376958719438921,101,95,4067967856683296254,-4894555157353959544
1125,-1.222725288391636,OKC,LAC,0.7250487957732585,0.27495120422674146,1.6361146237430113,1.0721000102682727,1.6539864396107657,1.0482284417365284,0.7780522660645232,0.22194773393547684,119,117,936907259486707158,-5323760739627466504
1126,-1.222725288391636,POR,BOS,0.6267732216340746,0.37322677836592544,0.4034544718393968,0.5835506379144637,0.4619468412467881,0.5232808738025719,0.6118904130728988,0.3881095869271012,116,109,-4685499826689625344,-5590291094270705760
1127,-1.222725288391636,CHO,PHI,0.9368708241327388,0.06312917586726119,0.49852486799463697,-2.6792086889010083,0.5124129053595553,-2.6958485685090343,0.9404700567504776,0.05952994324952233,100,91,-2301035644833432210,-6378341158414588377
1128,-1.222725288391636,NYK,BRK,0.7240868023196728,0.2759131976803272,-0.9413092526253254,-1.7222267263035698,-0.8904562821165865,-1.7703854819733547,0.7876171301987551,0.21238286980124488,105,91,1431947654934191088,1857582939019047147
1129,-1.222725288391636,DET,DAL,0.6695461673434456,0.3304538326565544,-0.06657849192856326,-0.19829429630146722,-0.1789113097056829,-0.0849579416748376,0.672491582488491,0.32750841751150905,89,98,-2770613571270583691,-5412304293289420943
1130,-1.222725288391636,MEM,TOR,0.4322760906927425,0.5677239093072575,-0.27851985906978716,0.9825938943230544,-0.31243671485675856,1.0180889335962822,0.43053121007598144,0.5694687899240185,95,99,-5985668375142419164,2561503364633695675
1131,-1.222725288391636,MIL,ORL,0.6174285137155164,0.3825714862844836,-0.8164847522718122,-0.5538624814276966,-0.7757089943122413,-0.5920074416536918,0.6609142806366806,0.33908571936331944,113,110,8790014581025697865,7364307840353954306
1132,-1.222725288391636,ATL,CLE,0.600217434565858,0.399782565434142,0.8380251480452743,1.2638599839278273,0.7878259390369216,1.3116187381471676,0.6379534834738421,0.3620465165261579,108,110,5700374313494463378,4228907574955838526
1133,-1.222725288391636,UTA,MIN,0.8318876191642388,0.1681123808357612,0.2103835119200274,-1.1377009468393613,0.24333299007191972,-1.1720088507361757,0.8486067355129977,0.1513932644870023,98,85,429481638095159025,7791026494116075625
1134,-1.222725288391636,SAC,MIA,0.4459576631030819,0.5540423368969181,-0.5807292715488088,0.5110528353540531,-0.626642812881754,0.5596368918952318,0.4524057269272548,0.5475942730727452,106,112,-713927011085917710,-7357393191761466484
1135,-1.222725288391636,GSW,BOS,0.8727309983764112,0.12726900162358878,2.4691484061066307,0.5319606839177915,2.3497679035231793,0.6430289079421581,0.8950031405241956,0.1049968594758044,106,109,2922559144280242665,-5590291094270705760
1136,-1.222725288391636,PHO,WAS,0.360620062235751,0.6393799377642491,-1.7978353568019345,-0.03325553539306736,-1.8267578209421018,0.002655235602544218,0.3447927894790204,0.6552072105209796,99,106,-588518604437065009,-2285819318488364112
1137,-1.222725288391636,PHI,IND,0.2636602922453001,0.7363397077546999,-2.6968728891075497,-0.3312588922678619,-2.7136450365602003,-0.3042762656336484,0.2069577079404845,0.7930422920595155,102,115,-6378341158414588377,7567183495528605856
1138,-1.222725288391636,CHI,DET,0.5687235866562872,0.4312764133437128,-0.5355799635308339,-0.16988849481559545,-0.5977746575122447,-0.10527201591125214,0.6373476194199147,0.3626523805800853,90,94,1532285866048629918,-2770613571270583691
1139,-1.222725288391636,SAS,TOR,0.817314259826139,0.18268574017386094,2.328961841905404,1.026626737591555,2.345511669558833,1.0014570760826806,0.8535404149726734,0.1464595850273266,102,95,-7332855802423568025,2561503364633695675
1140,-1.222725288391636,DEN,SAC,0.6745596265029631,0.3254403734970369,-0.7222480030341902,-0.6207151652199727,-0.8487059617911226,-0.490797060058418,0.7311977118109731,0.26880228818902685,106,115,-4894555157353959544,-713927011085917710
1141,-1.222725288391636,POR,MIA,0.6293398225878993,0.3706601774121007,0.45488306516617183,0.5683062681119652,0.5326799894930438,0.48839431942618233,0.6802160206041443,0.3197839793958557,110,93,-4685499826689625344,-7357393191761466484
1142,-1.222725288391636,BRK,NOP,0.4812609851757725,0.5187390148242275,-1.7745691932495125,-0.6477960814547181,-1.875558729632657,-0.5395634910707474,0.4529459646405494,0.5470540353594506,87,106,1857582939019047147,4067967856683296254
1143,-1.222725288391636,HOU,OKC,0.40597119996639053,0.5940288000336094,0.2120786154431092,1.675680073968049,0.31829261730838193,1.5683812400135408,0.3913147355158203,0.6086852644841797,118,110,-6980721805910865516,936907259486707158
1144,-1.222725288391636,LAC,WAS,0.7810482353294852,0.2189517646705148,1.0344224098254369,0.011484461284794906,1.061982591777305,-0.02017742567031794,0.7739167360145928,0.22608326398540726,114,109,-5323760739627466504,-2285819318488364112
1145,-1.222725288391636,MIN,DAL,0.4515858625127731,0.5484141374872269,-1.1782353291177472,-0.07610357168235363,-1.2415902578468678,-0.007864580962424515,0.4535177310700095,0.5464822689299905,78,88,7791026494116075625,-5412304293289420943
1146,-1.222725288391636,CLE,CHO,0.7404578190783441,0.25954218092165593,1.2969135316939813,0.5262148435398858,1.3358400374217778,0.4822612362770569,0.751248723515486,0.24875127648451398,112,103,4228907574955838526,-2301035644833432210
1147,-1.222725288391636,PHO,UTA,0.2872607850111356,0.7127392149888644,-1.842435417789298,0.25527477919040026,-1.888236278077435,0.30843676808366416,0.3050040691387905,0.6949959308612095,86,101,-588518604437065009,429481638095159025
1148,-1.222725288391636,ORL,MEM,0.5944033851938927,0.4055966148061073,-0.6002139569179163,-0.30433696089769385,-0.5116662933032275,-0.3913430002656797,0.5822531105891561,0.4177468894108439,119,107,7364307840353954306,-5985668375142419164
1149,-1.222725288391636,MIL,CHI,0.621937600380443,0.378062399619557,-0.7874308399613535,-0.5916474443345067,-0.8541002222566871,-0.5216940078410793,0.6698488981971542,0.3301511018028458,98,102,8790014581025697865,1532285866048629918
1150,-1.222725288391636,NYK,IND,0.5280248646174133,0.4719751353825867,-0.9026099932601538,-0.29535895296348935,-0.9647486116541643,-0.22944887844385853,0.5978507052586121,0.4021492947413881,87,92,1431947654934191088,7567183495528605856
1151,-1.222725288391636,GSW,POR,0.8557235291981344,0.14427647080186554,2.3498091736018485,0.5466220339964236,2.3775596762720883,0.509954502081299,0.8881061071074023,0.11189389289259766,136,111,2922559144280242665,-4685499826689625344
1152,-1.222725288391636,LAL,BOS,0.2366151213060797,0.7633848786939202,-2.005484536332805,0.6516743512895717,-2.015660410949649,0.669684335064859,0.22147945911236896,0.778520540887631,100,107,5056854428117856023,-5590291094270705760
1153,-1.222725288391636,PHI,NOP,0.288067460811011,0.7119325391889889,-2.7326605422436545,-0.5305786527706071,-2.5340082294397925,-0.7204940528609389,0.2754304829374402,0.7245695170625598,107,93,-6378341158414588377,4067967856683296254
1154,-1.222725288391636,TOR,CHO,0.7117281702529892,0.2882718297470108,0.9878107145234131,0.4909528187137885,1.0272574586955203,0.44763243484806575,0.7018199397355245,0.2981800602644755,96,90,2561503364633695675,-2301035644833432210
1155,-1.222725288391636,MIL,CLE,0.30856671184715123,0.6914332881528488,-0.8661171029089352,1.35533432616484,-0.9426957469790558,1.4361244806224218,0.2813424569341705,0.7186575430658295,80,109,8790014581025697865,4228907574955838526
1156,-1.222725288391636,MEM,CHI,0.6551611198887936,0.34483888011120645,-0.4002345535121632,-0.5127142979456378,-0.3149072580060603,-0.597291821035884,0.6520810466383984,0.3479189533616016,108,92,-5985668375142419164,1532285866048629918
1157,-1.222725288391636,MIA,DET,0.7185026973353215,0.2814973026646785,0.47649947633805545,-0.09641181593519065,0.5496206090020593,-0.17188675609933896,0.7077441648221683,0.2922558351778317,107,89,-7357393191761466484,-2770613571270583691
1158,-1.222725288391636,ATL,PHO,0.9183236941340652,0.08167630586593487,0.7819886489185677,-1.8910300242001405,0.7989117464464573,-1.9115710617351969,0.9231713870497726,0.07682861295022736,103,91,5700374313494463378,-588518604437065009
1159,-1.222725288391636,UTA,SAS,0.32584002124400663,0.6741599787559933,0.29715627279433626,2.371985816821951,0.2791685977191461,2.3896617621831715,0.346181609486026,0.6538183905139741,86,88,429481638095159025,-7332855802423568025
1160,-1.222725288391636,DEN,OKC,0.2951092200534987,0.7048907799465013,-0.8607025404823591,1.5767611143354296,-0.9283443886457868,1.6485932274223536,0.3039729573487611,0.6960270426512389,102,124,-4894555157353959544,936907259486707158
1161,-1.222725288391636,SAC,POR,0.4510536554933602,0.5489463445066398,-0.49934909222196017,0.5186381367630422,-0.5558904863458047,0.5776214325753725,0.4546905057145164,0.5453094942854836,107,115,-713927011085917710,-4685499826689625344
1162,-1.222725288391636,LAC,LAL,0.9326098799887595,0.06739012001124034,1.0571771238541365,-2.0193350399170136,1.0758292268042384,-2.0426936218363205,0.9350399329037076,0.06496006709629254,103,81,-5323760739627466504,5056854428117856023
1163,-1.222725288391636,GSW,MIN,0.9555080832616776,0.04449191673832231,2.377705544096897,-1.2399137409750458,2.142565314403683,-1.0124154066008537,0.9562871266536924,0.04371287334630747,117,124,2922559144280242665,7791026494116075625
1164,-1.222725288391636,WAS,BRK,0.8468064911357575,0.15319350886424254,-0.03033608191993472,-1.8782648358814578,0.00913826150914175,-1.918448113497689,0.8505294102364929,0.14947058976350702,121,103,-2285819318488364112,1857582939019047147
1165,-1.222725288391636,IND,CLE,0.3908087379250103,0.6091912620749897,-0.2388931136791652,1.4445423116203715,-0.09898691890497477,1.304945379383673,0.4202313039594429,0.5797686960405571,123,109,7567183495528605856,4228907574955838526
1166,-1.222725288391636,ORL,DET,0.5643263019587383,0.4356736980412617,-0.5223943818552402,-0.16300743820351415,-0.5850674610780954,-0.09795694887079265,0.6399880069702482,0.36001199302975184,104,108,7364307840353954306,-2770613571270583691
1167,-1.222725288391636,BOS,NOP,0.8126292408388253,0.18737075916117474,0.6571705953468271,-0.7114572888765841,0.6815593892131294,-0.7387077883439548,0.8413054374104687,0.1586945625895313,104,97,-5590291094270705760,4067967856683296254
